,artist_id,artist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
65y5gXjd9KJMyZcqnVMKq0,65y5gXjd9KJMyZcqnVMKq0,C.O.A. Click,0.75,0.78,-4.7,0.25,0.08,0.0,0.18,0.63,104.18
7aJgZeWVFzRf96TinYwgsu,7aJgZeWVFzRf96TinYwgsu,C-Note,0.78,0.6,-7.44,0.22,0.25,0.0,0.14,0.45,126.02
5RxfcQtj2NPyVzr3s4LvGa,5RxfcQtj2NPyVzr3s4LvGa,Young Sicc,0.79,0.58,-7.13,0.27,0.11,0.0,0.17,0.6,102.05
1k3e4JvpJQFxuhI8ZRuwh4,1k3e4JvpJQFxuhI8ZRuwh4,Spanky Loco,0.79,0.61,-7.33,0.31,0.06,0.0,0.16,0.55,116.48
4SJH2BseAuzaWFAwFhly70,4SJH2BseAuzaWFAwFhly70,Big Temps,0.8,0.65,-6.96,0.2,0.11,0.0,0.14,0.68,133.88
5GQgxUq4MOuXXV99WrRuev,5GQgxUq4MOuXXV99WrRuev,Young Bleed,0.74,0.68,-6.75,0.25,0.07,0.01,0.17,0.53,114.28
4135eJjHCRw5SuVzLfzR0x,4135eJjHCRw5SuVzLfzR0x,C-Murder,0.74,0.68,-6.35,0.3,0.03,0.02,0.21,0.57,127.35
0iEVT8dLNSSmipPOrDGu2z,0iEVT8dLNSSmipPOrDGu2z,Silkk The Shocker,0.77,0.66,-6.42,0.27,0.07,0.0,0.27,0.5,131.47
1edl5fzpdS471TaQ8Bgs3w,1edl5fzpdS471TaQ8Bgs3w,Scientist,0.7,0.56,-10.01,0.1,0.11,0.39,0.14,0.64,125.1
6IyAJxxinFuOJpDiDfZC0A,6IyAJxxinFuOJpDiDfZC0A,Southside Playaz,0.79,0.74,-5.34,0.28,0.1,0.0,0.17,0.6,118.96
1I5u5Umau1AgHl0ZbPL1oR,1I5u5Umau1AgHl0ZbPL1oR,Lil Cuete,0.71,0.66,-6.44,0.12,0.23,0.0,0.2,0.53,118.15
7zICaxnDB9ZprDSiFpvbbW,7zICaxnDB9ZprDSiFpvbbW,Master P,0.73,0.63,-6.6,0.23,0.02,0.0,0.27,0.47,112.53
2hOdJgrCf4Q7ysRpQGQYze,2hOdJgrCf4Q7ysRpQGQYze,3rd Degree,0.71,0.62,-6.96,0.26,0.16,0.01,0.18,0.44,114.28
1m23lQANfehGZ4ZT8zwS9Q,1m23lQANfehGZ4ZT8zwS9Q,Al-D,0.8,0.49,-10.64,0.21,0.18,0.0,0.22,0.51,110.62
1kluwGf65yTWZq3kYadHS3,1kluwGf65yTWZq3kYadHS3,Aggravated,0.82,0.63,-6.78,0.28,0.02,0.04,0.17,0.5,134.37
2vKNIZgOzsdLs8W40OZ4X8,2vKNIZgOzsdLs8W40OZ4X8,Yabby You,0.8,0.52,-10.38,0.12,0.18,0.27,0.14,0.72,125.73
1iFf7x4gbonfRVAvQ8Wsoh,1iFf7x4gbonfRVAvQ8Wsoh,Fat Pat,0.77,0.57,-7.8,0.24,0.07,0.0,0.2,0.52,123.22
32ZdTYKfcEqxv5qGCserXM,32ZdTYKfcEqxv5qGCserXM,Beltway 8,0.74,0.56,-8.93,0.34,0.18,0.01,0.21,0.42,121.24
4Q5sPmM8j4SpMqL4UA1DtS,4Q5sPmM8j4SpMqL4UA1DtS,Lil' Flip,0.76,0.59,-7.34,0.27,0.07,0.0,0.21,0.59,116.26
7sgVAztHMVXGT4XiczZb6F,7sgVAztHMVXGT4XiczZb6F,Baby Jokes,0.76,0.7,-5.79,0.13,0.16,0.0,0.25,0.57,113.22
4Byc3x9CcT699ZmORPccck,4Byc3x9CcT699ZmORPccck,Midget Loco,0.81,0.7,-5.94,0.21,0.21,0.0,0.18,0.54,102.93
5UVlV82aQvMEaQyTUc5XDm,5UVlV82aQvMEaQyTUc5XDm,Lil Sancho,0.78,0.59,-8.33,0.08,0.36,0.03,0.13,0.56,84.5
3aQ7I4C84b5EPAFkLMhpin,3aQ7I4C84b5EPAFkLMhpin,5th Ward Boyz,0.73,0.54,-8.68,0.27,0.11,0.0,0.19,0.52,107.15
2HeV7SaeXiEdRp9mwu3D6e,2HeV7SaeXiEdRp9mwu3D6e,E.S.G.,0.76,0.55,-10.08,0.21,0.09,0.0,0.22,0.52,112.31
6RSZyIAfMCpPNkgdXK8qNe,6RSZyIAfMCpPNkgdXK8qNe,Lawgik,0.86,0.7,-7.47,0.17,0.07,0.01,0.13,0.49,99.56
7AwjoITXTd0fHhNXXq0Hwq,7AwjoITXTd0fHhNXXq0Hwq,Woss Ness,0.77,0.66,-6.42,0.29,0.07,0.0,0.19,0.6,113.56
4BxD7dcIktd3Hfd3zP083u,4BxD7dcIktd3Hfd3zP083u,D-Gotti,0.67,0.66,-7.03,0.3,0.13,0.0,0.23,0.48,120.2
7C7Y21TW1uy3BdRMdvICRC,7C7Y21TW1uy3BdRMdvICRC,Slow Pain,0.77,0.63,-7.47,0.18,0.04,0.0,0.18,0.6,95.74
3GtZwD7aB1NkTGIIalm186,3GtZwD7aB1NkTGIIalm186,SSOL,0.85,0.68,-5.13,0.19,0.06,0.0,0.14,0.67,109.53
3ZooCJzNMTLpmJaIRUEorI,3ZooCJzNMTLpmJaIRUEorI,Young Dro,0.82,0.62,-7.11,0.26,0.07,0.0,0.1,0.64,124.7
